codeDepartement;nomDepartement;codeInseeCommune;nomCommune;codeInstallation;nomInstallation;adresse;codePostal;arrondissement;libelle;multiCommune;accessibilite;accessibiliteHandiMoteur;accessibiliteHandiSens;internat;nbLits;nbParking;nbParkingHandi;gardien;metro;bus;tram;train;bateau;autreTransport;aucunTransport;dateMAJ;dateCreation;nbEquipements
31;Haute-Garonne;31149;Colomiers;I311490018;Lyce Gnral et Technologique Priv Ort Maurice Grynfogel;14 Rue Etienne Collongues;31770;;Etablissement scolaire;0;0;1;0;1;26;100;1;Non;0;1;0;0;0;0;0;08/09/2016;08/09/2016;2
31;Haute-Garonne;31149;Colomiers;I311490033;Institution Sainte Thrse;1 bis Rue de l'glise;31770;;Etablissement scolaire;0;0;1;0;0;0;0;0;Avec logement de gardien;0;1;0;0;0;0;0;07/09/2016;07/09/2016;4
31;Haute-Garonne;31149;Colomiers;I311490036;Ecole Elementaire George Sand;Alle de la Colombe;31770;;Etablissement scolaire;0;0;1;0;0;;;;-;0;1;0;0;0;0;0;;;1
31;Haute-Garonne;31149;Colomiers;I311490038;Complexe Tennis Cabirol;2 Alle des Alpilles;31770;;Complexe sportif;0;0;1;0;0;0;0;0;Non;0;0;0;0;0;1;0;;;16
31;Haute-Garonne;31150;Cornebarrieu;I311500002;Complexe Pierre de Coubertin;CHEMIN DES AMBRITS;31700;;Complexe sportif;0;0;1;0;0;0;100;2;Non;0;1;0;0;0;0;0;24/07/2015;24/07/2015;16
31;Haute-Garonne;31157;Cugnaux;I311570001;Ecole Jean Jaurs;Impasse des coles;31270;;Etablissement scolaire;0;0;1;0;0;0;32;1;Non;0;1;0;0;0;0;0;23/11/2016;23/11/2016;2
31;Haute-Garonne;31157;Cugnaux;I311570003;Groupe Scolaire Christian Blanc;12 Alle Suzanne Lacore;31270;;Etablissement scolaire;0;0;1;0;0;0;50;1;Non;0;1;0;0;0;0;0;16/11/2016;16/11/2016;3
31;Haute-Garonne;31157;Cugnaux;I311570004;Ecole Lon Blum;Rue Vincent Auriol;31270;;Etablissement scolaire;0;0;1;0;0;0;10;0;Non;0;1;0;0;0;0;0;16/11/2016;16/11/2016;2
31;Haute-Garonne;31157;Cugnaux;I311570005;Groupe Scolaire Eugne Montel;Square St Exupry;31270;;Etablissement scolaire;0;0;1;0;0;0;10;0;Non;0;1;0;0;0;0;0;23/11/2016;23/11/2016;1
31;Haute-Garonne;31157;Cugnaux;I311570007;Complexe Michel Jazy;Av du Comminges;31270;;Complexe sportif;0;0;1;0;0;0;100;2;Non;0;1;0;0;0;0;0;17/11/2016;17/11/2016;7
31;Haute-Garonne;31157;Cugnaux;I311570011;Plaine de Jeux de Loubayssens;Rue du stade;31270;;Complexe sportif;0;0;1;0;0;0;200;5;Non;0;1;0;0;0;0;0;17/11/2016;17/11/2016;21
31;Haute-Garonne;31157;Cugnaux;I311570019;College Montesquieu;Bd Lo Lagrange;31270;;Etablissement scolaire;0;0;1;0;0;0;70;3;Sans logement de gardien;0;1;0;0;0;0;0;23/11/2016;23/11/2016;3
31;Haute-Garonne;31160;Daux;I311600006;Ecole lmentaire de Daux;Chemin de Mirande;31700;;Etablissement scolaire;0;0;1;0;0;;60;2;Sans logement de gardien;0;1;0;0;0;0;0;28/08/2019;28/08/2019;2
31;Haute-Garonne;31163;Drmil-Lafage;I311630001;Ecole lmentaire Andr Duperrin;av andre duperrin;31280;;Etablissement scolaire;0;0;1;0;0;;50;0;Non;0;0;0;0;0;0;1;11/10/2019;11/10/2019;1
31;Haute-Garonne;31163;Drmil-Lafage;I311630002;Stade Municipal;che de loubieres;31280;;Complexe sportif;0;0;1;0;0;0;20;2;Non;0;0;0;0;0;0;1;05/11/2019;05/11/2019;6
31;Haute-Garonne;31165;Eaunes;I311650002;Complexe Sportif Ariane;Chemin des Bertoulots;31600;;Complexe sportif;0;0;1;0;0;0;100;3;Non;;;;;;;0;05/06/2015;05/06/2015;3
31;Haute-Garonne;31167;Encausse-les-Thermes;I311670001;Complexe Educatif Sportif et de Loisir;Padehant;31160;;Complexe sportif;0;0;1;0;0;0;60;4;Non;;;;;;;0;15/10/2018;27/06/2013;4
31;Haute-Garonne;31181;Fauga;I311810005;Ecole Municipale;Place Cazalre;31410;;Etablissement scolaire;0;0;1;0;0;0;20;1;Non;0;0;0;0;0;0;1;03/12/2019;28/11/2019;2
31;Haute-Garonne;31182;Fenouillet;I311820006;Complexe Sportif du Ramier;RUE DE LA PLAGE;31150;;Complexe sportif;0;0;1;0;0;0;50;;Non;0;1;0;0;0;0;0;21/07/2015;21/07/2015;5
31;Haute-Garonne;31182;Fenouillet;I311820007;Site Omnisport Claude Cornac;Rue Piquepeyre;31150;;Complexe sportif;0;0;1;0;0;0;50;;Non;0;1;0;0;0;0;0;21/07/2015;21/07/2015;6
31;Haute-Garonne;31186;Fonbeauzard;I311860004;Complexe Sportif;Rue Jean Mermoz;31140;;Complexe sportif;0;0;1;0;0;0;100;4;Non;0;1;0;0;0;0;0;26/06/2015;26/06/2015;6
31;Haute-Garonne;31187;Fonsorbes;I311870001;Domaine de Bidot;Chemin de Birazel Bidot;31470;;Base de plein air et/ou de loisirs;0;0;1;0;0;0;73;4;Avec logement de gardien;;;;;;;0;24/07/2015;24/07/2015;4
31;Haute-Garonne;31187;Fonsorbes;I311870003;Complexe Sportif de Cantelauze;Cantelauze;31470;;Complexe sportif;0;0;1;0;0;0;50;0;Avec logement de gardien;;;;;;;0;24/07/2015;24/07/2015;6
31;Haute-Garonne;31187;Fonsorbes;I311870004;Complexe Detennis;Rue Luigi Amadio;31470;;Complexe sportif;0;0;1;0;0;0;20;;Non;0;1;0;0;0;0;0;24/07/2015;24/07/2015;10
31;Haute-Garonne;31187;Fonsorbes;I311870005;Complexe Sportif des Boulbenes;che des boulbenes;31470;;Complexe sportif;0;0;1;0;0;0;289;20;Non;0;0;0;0;0;0;1;24/10/2019;24/10/2019;12
31;Haute-Garonne;31187;Fonsorbes;I311870011;College Cantelauze;Chemin Cantelauze;31470;;Etablissement scolaire;0;0;1;0;0;0;36;2;Non;0;1;0;0;0;0;0;24/07/2015;24/07/2015;2
