codeInstallation,codeInseeCommune,libelle,metro,bus,tram,train,bateau,autreTransport,aucunTransport,dateMAJ,dateCreation
I314330013,31433,Complexe sportif,0,1,0,0,0,0,0,02/07/2015,02/07/2015
I314350001,31435,Complexe sportif,0,0,0,0,0,0,1,24/10/2019,24/10/2019
I314450001,31445,Complexe sportif,0,0,0,0,0,0,1,28/07/2015,28/07/2015
I314450009,31445,Etablissement scolaire,0,1,0,0,0,0,0,04/02/2019,23/03/2017
I314460004,31446,Piscine,1,0,0,0,0,0,0,08/09/2016,08/09/2016
I314460007,31446,Complexe sportif,0,1,0,0,0,0,0,07/09/2018,12/09/2016
I314510003,31451,Complexe sportif,0,1,0,0,0,0,0,26/10/2015,26/10/2015
I314510010,31451,Arodrome/aroport,,,,,,,0,26/10/2015,26/10/2015
I314540003,31454,Complexe sportif,0,1,0,0,0,0,0,26/06/2015,26/06/2015
I314550001,31455,Piscine,0,0,0,0,0,0,1,24/10/2019,24/10/2019
I314580001,31458,Complexe sportif,0,1,0,0,0,0,0,23/09/2015,23/09/2015
I314580004,31458,Etablissement scolaire,0,1,0,0,0,0,0,23/09/2015,23/09/2015
I314600001,31460,Complexe sportif,0,1,0,0,0,0,0,23/09/2015,23/09/2015
I314620001,31462,Complexe sportif,0,1,0,0,0,0,0,22/11/2019,18/11/2019
I314640003,31464,Arodrome/aroport,0,0,0,0,0,0,1,12/11/2018,
I314670002,31467,Complexe sportif,0,1,0,0,0,0,0,02/05/2019,28/07/2015
I314670004,31467,Complexe sportif,0,1,0,0,0,0,0,02/05/2019,28/07/2015
I314670005,31467,Complexe sportif,0,1,0,0,0,0,0,02/05/2019,28/07/2015
I314670008,31467,Etablissement scolaire,0,1,0,0,0,0,0,02/05/2019,
I314670009,31467,Etablissement scolaire,,,,,,,0,02/05/2019,
I314700001,31470,Domaine de ski,0,0,0,0,0,1,0,13/11/2018,19/10/2018
I314710006,31471,Piscine,0,0,0,0,0,0,1,27/08/2019,27/08/2019
I314830003,31483,Complexe sportif,0,1,0,0,0,0,0,05/06/2015,05/06/2015
I314830012,31483,Etablissement scolaire,0,1,0,0,0,0,0,05/06/2015,05/06/2015
I314830013,31483,Etablissement scolaire,0,1,0,0,0,0,0,05/06/2015,05/06/2015
I314830014,31483,Etablissement scolaire,0,1,0,0,0,0,0,19/06/2015,19/06/2015
I314830015,31483,Etablissement scolaire,0,1,0,0,0,0,0,05/06/2015,05/06/2015
I314830016,31483,Etablissement scolaire,0,1,0,0,0,0,0,05/06/2015,05/06/2015
I314840001,31484,Complexe sportif,0,0,0,0,0,0,1,18/11/2019,18/11/2019
I314840005,31484,Etablissement scolaire,0,0,0,0,0,0,1,18/11/2019,18/11/2019
I314860001,31486,Complexe sportif,0,1,0,0,0,0,0,07/11/2019,07/11/2019
I314880003,31488,Complexe sportif,0,1,0,0,0,0,0,18/06/2015,18/06/2015
I314880004,31488,Complexe sportif,,,,,,,0,18/06/2015,18/06/2015
I314880005,31488,Complexe sportif,0,1,0,0,0,0,0,18/06/2015,18/06/2015
I314880006,31488,Complexe sportif,,,,,,,0,18/06/2015,18/06/2015
I314900001,31490,Complexe sportif,0,0,0,0,0,0,1,28/07/2015,28/07/2015
I314900002,31490,Complexe sportif,0,0,0,0,0,0,1,28/07/2015,28/07/2015
I314950005,31495,Etablissement scolaire,0,0,0,0,0,0,1,07/11/2019,07/11/2019
I314970001,31497,Complexe sportif,0,0,0,0,0,0,1,22/11/2019,22/11/2019
I314970004,31497,Etablissement scolaire,0,0,0,0,0,0,1,25/11/2019,25/11/2019
I314990008,31499,Piscine,,,,,,,0,23/09/2015,23/09/2015
I315000002,31500,Complexe sportif,0,1,0,0,0,0,0,27/11/2018,22/11/2018
I315010002,31501,Base de plein air et/ou de loisirs,0,1,0,0,0,0,0,08/11/2018,28/10/2013
I315060010,31506,Complexe sportif,0,1,0,0,0,0,0,28/07/2015,28/07/2015
I315060011,31506,Complexe sportif,0,1,0,0,0,0,0,28/07/2015,28/07/2015
I315120002,31512,Etablissement scolaire,0,0,0,0,0,0,1,28/10/2019,28/10/2019
I315120003,31512,Etablissement scolaire,0,1,0,0,0,0,0,28/10/2019,28/10/2019
